Employee Id,Name,Age,Department,Date of Joining,Years of Experience,Country,Salary,Performance Rating,Total Sales,Support Rating
75,Brandy Webster,46,Support,2010-01-01,8,Drogol,88383,2,0,2
76,Jennifer Graham,60,Marketing,2019-01-01,18,Aqualis,107216,2,0,0
77,Jessica Jenkins,52,Operations,2025-01-01,14,Kaldora,104847,5,0,0
78,James Hebert,48,Development,2016-01-01,20,Zebronia,137158,5,0,0
79,Scott Kim,59,Development,2024-01-01,18,Zebronia,131825,5,0,0
80,Cristina Burke,36,Operations,2018-01-01,8,Nirvon,92044,2,0,0
81,Kevin Scott DVM,54,Development,2011-01-01,11,Zebronia,113349,4,0,0
82,Cheyenne Williams,47,Development,2016-01-01,13,Arkalon,127686,5,0,0
83,Dustin Kaufman,52,Development,2018-01-01,14,Xentara,114753,3,0,0
84,Christopher Hernandez,41,Support,2022-01-01,14,Nirvon,91990,4,0,3
85,Mary Flores,38,Support,2014-01-01,2,Aqualis,107645,4,0,3
86,Misty Williams,29,Sales,2017-01-01,5,Zebronia,135325,3,100261,0
87,Miranda Gordon,57,Support,2010-01-01,17,Nirvon,82024,2,0,1
88,Tammy Wood,42,Development,2012-01-01,16,Kaldora,119623,3,0,0
89,Wesley Baxter,54,Sales,2021-01-01,19,Kaldora,87535,1,29328,0
90,Alan Weaver,41,Support,2021-01-01,11,Kaldora,93355,2,0,3
91,Dillon Fox,45,Leadership,2015-01-01,17,Zebronia,274840,5,0,0
92,Cassandra Ingram,48,Development,2015-01-01,18,Lumeria,125298,3,0,0
93,Whitney White,37,Development,2017-01-01,13,Arkalon,117707,4,0,0
94,Barbara Vargas,28,Sales,2016-01-01,4,Utopia,143275,3,113820,0
95,Peter Green,57,Development,2012-01-01,17,Drogol,129075,5,0,0
96,Stephanie Armstrong,54,Marketing,2014-01-01,13,Utopia,96771,2,0,0
97,Denise Walker,58,Operations,2026-01-01,18,Kaldora,100032,2,0,0
98,Sandra Castro,47,Support,2012-01-01,7,Arkalon,114619,5,0,5
99,Andrea Leonard,29,Support,2026-01-01,1,Nirvon,79284,3,0,2
100,Joseph Crosby,47,Operations,2021-01-01,16,Nirvon,107603,2,0,0
101,Samantha Ellis,51,Support,2025-01-01,20,Lumeria,76609,2,0,2
102,Katherine Lewis,37,Development,2015-01-01,6,Arkalon,94065,3,0,0
103,Eric Duncan,58,Development,2012-01-01,14,Kaldora,115029,3,0,0
104,Carla Rios,33,Development,2019-01-01,4,Vantor,96663,5,0,0
105,Jeremy Ross,24,Operations,2019-01-01,2,Drogol,82264,3,0,0
106,Mary Johnson,47,Development,2013-01-01,12,Aqualis,108095,2,0,0
107,Leslie Martin,36,Development,2025-01-01,6,Drogol,85167,3,0,0
108,Troy Gordon,37,Marketing,2019-01-01,12,Drogol,109448,4,0,0
109,Elaine Benson,36,Support,2019-01-01,7,Utopia,102636,3,0,4
110,Jacqueline Ford MD,50,Development,2010-01-01,12,Aqualis,110178,3,0,0
111,Jimmy Hansen,29,Support,2012-01-01,6,Lumeria,82177,2,0,1
112,Brandon Farley,26,Development,2023-01-01,4,Aqualis,80640,2,0,0
113,James Cannon,56,Development,2016-01-01,18,Vantor,129648,4,0,0
114,Dwayne Ortiz,30,Development,2014-01-01,3,Vantor,85280,2,0,0
115,Kaitlyn Wiggins,25,Support,2025-01-01,3,Zebronia,91613,3,0,4
116,Travis Owen,39,Leadership,2019-01-01,15,Arkalon,500000,3,0,0
117,Kimberly Shelton,43,Sales,2024-01-01,13,Arkalon,107779,2,74080,0
118,Amy Morgan,56,Operations,2013-01-01,12,Xentara,102580,3,0,0
119,Sarah Hart,45,Development,2018-01-01,3,Lumeria,85033,2,0,0
120,Gregory Romero,33,Development,2018-01-01,9,Zebronia,99362,2,0,0
121,Jeffrey Hart,39,Development,2022-01-01,12,Vantor,110341,3,0,0
122,Michael Burton,49,Operations,2017-01-01,7,Aqualis,93394,3,0,0
123,John Salazar,57,Support,2016-01-01,17,Lumeria,87561,2,0,2
124,Christine Phillips,31,Development,2013-01-01,6,Arkalon,100464,4,0,0
125,Christopher Rogers,29,Sales,2023-01-01,3,Kaldora,125066,2,89781,0
126,John Harrison,45,Support,2017-01-01,8,Nirvon,96837,3,0,3
127,Peter Lopez,45,Operations,2016-01-01,7,Utopia,99019,5,0,0
128,Louis Jennings,42,Marketing,2013-01-01,12,Arkalon,103024,4,0,0
129,Mark Frank,39,Development,2017-01-01,9,Kaldora,114361,4,0,0
130,Joshua Espinoza DDS,27,Development,2010-01-01,2,Drogol,82169,2,0,0
131,Charles Mcdonald,46,Marketing,2015-01-01,2,Drogol,79132,3,0,0
132,Heather David,54,Development,2014-01-01,9,Utopia,114929,4,0,0
133,Dylan Owen,34,Marketing,2025-01-01,4,Nirvon,76521,4,0,0
134,Laura Hurley,34,Support,2018-01-01,8,Zebronia,85550,1,0,2
135,Scott Archer,35,Leadership,2026-01-01,3,Xentara,258291,3,0,0
136,Steven Campbell,31,Operations,2025-01-01,8,Utopia,84146,3,0,0
137,Ashley Dixon,27,Marketing,2018-01-01,3,Zebronia,83110,3,0,0
138,Lisa Mosley,54,Operations,2022-01-01,10,Utopia,100868,5,0,0
139,Theresa Mcguire,51,Development,2018-01-01,8,Lumeria,107111,5,0,0
140,Nicole Peterson,46,Support,2017-01-01,12,Utopia,102689,3,0,4
141,Steven Hawkins,46,Support,2022-01-01,19,Aqualis,99047,4,0,4
142,Mia Vargas,52,Leadership,2024-01-01,8,Kaldora,266751,5,0,0
143,Selena Burton,46,Support,2020-01-01,14,Nirvon,119233,4,0,5
144,Cody Forbes,49,Marketing,2010-01-01,20,Aqualis,110002,2,0,0
145,Christina Baker,48,Development,2011-01-01,3,Arkalon,102443,5,0,0
146,Joyce Williams,39,Development,2022-01-01,16,Drogol,116901,2,0,0
147,Sandra Armstrong,46,Support,2021-01-01,9,Drogol,111888,4,0,4
148,Michael Hunt,51,Sales,2023-01-01,19,Xentara,130406,4,97435,0
149,Tiffany Thornton,35,Support,2012-01-01,13,Utopia,92066,2,0,3
150,David Lawson,43,Development,2017-01-01,6,Zebronia,101846,5,0,0
151,Briana Powell,38,Operations,2015-01-01,10,Drogol,100595,3,0,0
152,Nicholas Taylor,41,Development,2017-01-01,3,Xentara,88272,3,0,0
153,Christopher Bell,33,Development,2025-01-01,7,Utopia,91509,4,0,0
154,Darren Duncan,28,Support,2011-01-01,3,Xentara,77973,1,0,1
155,Jennifer Green,54,Support,2019-01-01,16,Xentara,112860,4,0,5
156,Robert Ellis,38,Development,2023-01-01,14,Drogol,112056,4,0,0
157,Richard Olson,52,Development,2016-01-01,17,Zebronia,120402,2,0,0
158,Ian Moody,37,Sales,2015-01-01,3,Aqualis,99303,2,44516,0
159,Thomas Ray,40,Marketing,2023-01-01,4,Nirvon,90835,5,0,0
160,James Daniel,33,Operations,2025-01-01,8,Arkalon,87226,4,0,0
161,Tonya Spencer,45,Marketing,2011-01-01,19,Drogol,107117,2,0,0
162,Patrick Shaw,31,Sales,2018-01-01,7,Xentara,123383,3,75147,0
163,Alexander Davis,47,Development,2012-01-01,14,Vantor,126972,4,0,0
164,Jessica Pitts,51,Sales,2016-01-01,18,Kaldora,84295,1,21718,0
165,David Simpson,41,Sales,2023-01-01,1,Vantor,139920,4,112376,0
166,Kendra Thompson,56,Operations,2025-01-01,12,Utopia,99408,5,0,0
167,Mary Aguilar,64,Development,2024-01-01,19,Nirvon,123475,4,0,0
168,Scott Edwards,48,Development,2010-01-01,4,Nirvon,94584,4,0,0
169,Joseph Kerr,61,Development,2019-01-01,20,Nirvon,129810,3,0,0
170,Jason Ochoa,38,Support,2023-01-01,14,Kaldora,87070,2,0,3
171,Shannon Hubbard,42,Marketing,2020-01-01,10,Aqualis,93150,2,0,0
172,Vincent Cunningham,62,Sales,2013-01-01,18,Nirvon,154210,4,126998,0
173,Angel Weber,45,Operations,2024-01-01,4,Arkalon,76524,3,0,0
174,Natalie Robinson,49,Development,2022-01-01,10,Vantor,102299,2,0,0
175,Douglas Davies,46,Operations,2023-01-01,8,Nirvon,101992,5,0,0
176,Patricia Bright,57,Operations,2012-01-01,20,Drogol,115952,2,0,0
177,Laurie Gutierrez,27,Sales,2012-01-01,1,Nirvon,138331,3,102434,0
178,Jesse Green,34,Operations,2017-01-01,1,Xentara,77341,2,0,0
179,Casey Alexander,36,Operations,2024-01-01,13,Zebronia,100375,2,0,0
180,Mr. William Kane,32,Operations,2015-01-01,1,Kaldora,76739,2,0,0
181,Brandon Fitzpatrick,27,Operations,2012-01-01,3,Vantor,84121,3,0,0
182,Alejandra Becker,42,Development,2016-01-01,4,Vantor,87510,2,0,0
183,John Bennett,29,Operations,2020-01-01,7,Arkalon,101640,4,0,0
184,Stacey White,33,Support,2017-01-01,5,Lumeria,82377,2,0,1
185,Richard Lucas,47,Operations,2013-01-01,4,Aqualis,90427,4,0,0
186,Frederick Daniels,45,Marketing,2023-01-01,20,Vantor,109787,2,0,0
187,Gabriela Crawford,35,Support,2019-01-01,11,Kaldora,98392,3,0,3
188,Audrey Allen,53,Operations,2024-01-01,11,Nirvon,102386,4,0,0
189,April Manning,43,Support,2014-01-01,8,Lumeria,89555,3,0,2
190,Donna Vasquez,49,Development,2012-01-01,10,Arkalon,119742,5,0,0
191,Johnny Harrington,49,Development,2016-01-01,11,Xentara,105467,2,0,0
192,James Rocha,33,Development,2015-01-01,9,Kaldora,99427,2,0,0
193,Jacob Proctor,49,Marketing,2011-01-01,19,Drogol,111563,3,0,0
194,Christina Day,42,Development,2024-01-01,18,Drogol,120047,4,0,0
195,Andrew Valencia,52,Marketing,2021-01-01,14,Xentara,101807,3,0,0
196,Charles Bean,43,Operations,2013-01-01,7,Aqualis,89072,2,0,0
197,Howard Wilson,43,Operations,2012-01-01,16,Xentara,125096,5,0,0
198,Christina Small,32,Operations,2012-01-01,9,Zebronia,97013,3,0,0
199,Bridget Shea,33,Operations,2013-01-01,2,Vantor,82181,3,0,0
200,Donna Bell,39,Support,2013-01-01,13,Utopia,85222,1,0,2
201,Sara Pollard,46,Sales,2019-01-01,11,Xentara,132526,3,94504,0
202,Stephanie Schmitt,36,Operations,2012-01-01,11,Lumeria,104697,4,0,0
203,Anne Peterson,43,Development,2015-01-01,12,Aqualis,109800,3,0,0
204,Michael Smith,33,Operations,2026-01-01,3,Zebronia,73479,3,0,0
205,Mark Johns,31,Development,2012-01-01,9,Vantor,117114,5,0,0
206,Sherry Cole,43,Operations,2026-01-01,6,Utopia,74244,2,0,0
207,Denise Cunningham DDS,42,Operations,2017-01-01,9,Xentara,97998,3,0,0
208,Karen Alvarez,60,Operations,2018-01-01,18,Aqualis,111983,2,0,0
209,Barbara Brooks,53,Sales,2011-01-01,16,Kaldora,158329,4,132746,0
210,Justin Jimenez,56,Development,2020-01-01,16,Kaldora,127841,5,0,0
211,Deborah Russell,43,Operations,2011-01-01,11,Aqualis,100715,3,0,0
212,Amber Pierce,45,Support,2013-01-01,12,Xentara,88281,2,0,2
213,Jerry Church,47,Development,2018-01-01,10,Lumeria,110879,4,0,0
214,Tony Weaver,24,Development,2023-01-01,1,Zebronia,83475,3,0,0
215,Sherri Moreno,45,Development,2022-01-01,15,Xentara,115754,2,0,0
216,Carolyn Williams,50,Operations,2021-01-01,15,Nirvon,115773,5,0,0
217,Melissa Goodman,34,Marketing,2023-01-01,4,Arkalon,88082,4,0,0
218,Angela Moore,29,Sales,2023-01-01,4,Aqualis,151547,4,135492,0
219,Ann Morris,46,Development,2026-01-01,13,Kaldora,105911,4,0,0
220,Christopher Brady,51,Operations,2020-01-01,9,Vantor,99901,4,0,0
221,Jacob Garrison,33,Marketing,2015-01-01,10,Nirvon,95732,3,0,0
222,Michelle Wilkinson,25,Development,2014-01-01,1,Zebronia,80442,2,0,0
223,Wendy Taylor,41,Development,2016-01-01,5,Vantor,90514,2,0,0
224,Christopher Marshall,49,Development,2024-01-01,16,Drogol,111603,3,0,0
225,Madison Moreno,57,Sales,2017-01-01,18,Kaldora,118278,3,69097,0
226,Alyssa Fernandez,62,Development,2020-01-01,20,Zebronia,138178,5,0,0
227,Paula Martinez,44,Development,2018-01-01,2,Zebronia,91978,5,0,0
228,Melissa Johnson,45,Sales,2020-01-01,19,Vantor,152714,4,111697,0
229,Jeffrey Owens,35,Development,2014-01-01,3,Zebronia,99662,4,0,0
230,Melissa Martinez,57,Support,2021-01-01,14,Kaldora,112613,4,0,4
231,Crystal Elliott,55,Support,2025-01-01,10,Drogol,101897,4,0,5
232,Marcus Mendez,51,Sales,2026-01-01,19,Arkalon,127595,3,106953,0
233,Collin Parks,53,Development,2018-01-01,15,Utopia,122813,4,0,0
234,Victoria Valdez,39,Development,2025-01-01,7,Aqualis,92710,4,0,0
235,James Morgan,43,Development,2019-01-01,8,Drogol,98383,2,0,0
236,Deborah Davis,53,Sales,2010-01-01,18,Aqualis,156659,4,118274,0
237,Connor Terry,46,Support,2012-01-01,19,Kaldora,109691,5,0,4
238,Katherine Delgado,51,Sales,2022-01-01,16,Zebronia,90201,1,45510,0
239,Stephanie Taylor,41,Development,2016-01-01,8,Xentara,98391,2,0,0
240,Kyle Orr,61,Support,2021-01-01,20,Zebronia,86945,2,0,2
241,Juan Armstrong,60,Development,2019-01-01,20,Kaldora,126538,2,0,0
242,Mrs. Ashley Brown,34,Sales,2025-01-01,10,Lumeria,118088,3,83234,0
243,Mr. Tony Cunningham,41,Support,2015-01-01,13,Lumeria,112957,4,0,5
244,Kevin Adams,32,Support,2017-01-01,5,Xentara,111912,4,0,5
245,Briana Perry,54,Leadership,2022-01-01,20,Lumeria,500000,3,0,0
246,Crystal Baxter,53,Support,2023-01-01,19,Utopia,112595,4,0,5
247,Nancy Smith,48,Support,2021-01-01,9,Lumeria,117886,5,0,4
248,Alicia Rangel,47,Development,2016-01-01,17,Arkalon,119965,2,0,0
249,Jorge Perez,42,Marketing,2017-01-01,3,Aqualis,95538,5,0,0
250,Michael Moore,45,Operations,2018-01-01,4,Zebronia,98032,4,0,0
251,John Robinson,52,Development,2023-01-01,20,Aqualis,130287,3,0,0
252,Brandon Short,46,Marketing,2022-01-01,19,Arkalon,111748,3,0,0
253,Jennifer Murphy,49,Marketing,2013-01-01,4,Drogol,96822,5,0,0
254,Jeremy Hurley,48,Operations,2016-01-01,20,Arkalon,115510,2,0,0
255,Shane Peterson,48,Operations,2012-01-01,3,Lumeria,87348,4,0,0
256,Susan Smith,42,Marketing,2025-01-01,17,Drogol,104479,5,0,0
257,Julie Williams,40,Operations,2019-01-01,3,Aqualis,82507,2,0,0
258,Theresa Mcintyre,55,Operations,2016-01-01,20,Aqualis,119350,3,0,0
259,Andrea Baldwin,52,Development,2022-01-01,10,Xentara,108141,5,0,0
260,James Martin,27,Development,2020-01-01,3,Lumeria,88059,3,0,0
261,Katherine Chen,38,Sales,2021-01-01,7,Arkalon,164254,5,138054,0
262,Timothy Dougherty,58,Development,2013-01-01,18,Vantor,140479,5,0,0
263,Tyler Thomas,30,Development,2022-01-01,6,Zebronia,91600,2,0,0
264,Ricky Galvan,47,Support,2011-01-01,16,Arkalon,78096,1,0,1
265,Sabrina Mills,46,Development,2024-01-01,13,Arkalon,107842,4,0,0
266,Robert Cook,53,Development,2019-01-01,17,Nirvon,121946,3,0,0
267,Jared Black,31,Sales,2016-01-01,8,Drogol,138360,4,96092,0
268,Lisa Morales,45,Development,2023-01-01,17,Aqualis,119264,2,0,0
269,Amy Farrell,52,Leadership,2013-01-01,19,Arkalon,500000,4,0,0
270,Peter Klein,44,Support,2018-01-01,2,Arkalon,85275,1,0,2
271,Kevin Lopez,46,Sales,2023-01-01,15,Vantor,96931,1,57551,0
272,Amanda Moore,30,Operations,2012-01-01,7,Vantor,89419,2,0,0
273,Kimberly Stephens,25,Operations,2020-01-01,3,Xentara,95782,4,0,0
274,Thomas Wagner,57,Development,2015-01-01,16,Zebronia,127188,5,0,0
275,Laurie Lee,53,Operations,2018-01-01,19,Vantor,118055,3,0,0
276,Erin Contreras,53,Development,2016-01-01,19,Zebronia,141805,5,0,0
277,David Dyer,37,Leadership,2019-01-01,5,Utopia,500000,3,0,0
278,Mark Powers,43,Operations,2012-01-01,5,Aqualis,91914,4,0,0
279,Keith Hines,52,Development,2024-01-01,9,Xentara,103080,5,0,0
280,Jessica Trujillo,48,Operations,2021-01-01,6,Xentara,104521,5,0,0
281,Laurie Bailey,41,Marketing,2010-01-01,7,Kaldora,95789,5,0,0
282,Karen Greer,31,Support,2015-01-01,4,Utopia,118119,5,0,4
283,Albert Davies,44,Marketing,2021-01-01,16,Kaldora,117613,4,0,0
284,Brooke Newman,41,Operations,2025-01-01,13,Kaldora,102515,5,0,0
285,Sheila Mcintosh,35,Operations,2012-01-01,3,Nirvon,94149,4,0,0
286,Mrs. Carla Anderson MD,49,Development,2016-01-01,16,Aqualis,119030,3,0,0
287,Janice Gibson,39,Operations,2018-01-01,16,Xentara,114699,4,0,0
288,Kimberly Perry,41,Sales,2024-01-01,18,Kaldora,82947,1,32277,0
289,Francisco Bryant,57,Marketing,2017-01-01,12,Nirvon,102534,4,0,0
290,Samuel Pope,43,Development,2017-01-01,16,Utopia,118180,2,0,0
291,Christian Parsons,59,Development,2017-01-01,20,Xentara,142677,4,0,0
292,Charles Jones,24,Sales,2017-01-01,1,Xentara,116664,3,65357,0
293,Robin Francis,39,Development,2019-01-01,2,Vantor,100565,5,0,0
294,Christopher Woods,49,Sales,2015-01-01,16,Arkalon,87286,1,28457,0
295,James Reed,41,Development,2024-01-01,10,Nirvon,100926,2,0,0
296,Derrick Cochran,35,Development,2014-01-01,9,Aqualis,114557,4,0,0
297,Heather Miller,34,Sales,2012-01-01,9,Lumeria,144225,3,119450,0
298,Benjamin Day,37,Marketing,2015-01-01,5,Drogol,99608,5,0,0
299,William Gonzales,31,Development,2014-01-01,4,Vantor,89321,3,0,0
300,Amanda Hogan,46,Operations,2010-01-01,3,Arkalon,93113,5,0,0
301,Michael Hawkins,47,Marketing,2013-01-01,9,Vantor,93465,3,0,0
302,Jesse Olson,46,Operations,2011-01-01,10,Zebronia,100779,3,0,0
303,Sarah Abbott,48,Sales,2021-01-01,8,Utopia,145447,3,118452,0
304,Paul Cooper,40,Operations,2016-01-01,4,Xentara,94991,5,0,0
305,Victor Smith,49,Sales,2017-01-01,4,Vantor,93110,2,30945,0
306,Matthew Wise,39,Sales,2014-01-01,4,Nirvon,155713,4,130321,0
307,Mia Davis,45,Support,2015-01-01,9,Zebronia,78410,1,0,1
308,Lori Pacheco,57,Development,2015-01-01,16,Arkalon,131941,4,0,0
309,Amanda Mathews,51,Marketing,2010-01-01,14,Utopia,103138,3,0,0
310,Lauren Wise,54,Development,2014-01-01,15,Drogol,125175,5,0,0
311,Michele Mcintosh,30,Support,2021-01-01,2,Nirvon,102742,3,0,4
312,Eugene Martin,58,Support,2026-01-01,16,Vantor,67389,1,0,1
313,Nathaniel Johnson,61,Development,2016-01-01,18,Aqualis,125522,3,0,0
314,Robert Cohen,42,Marketing,2010-01-01,2,Kaldora,84284,4,0,0
315,Debra Alvarado,51,Sales,2011-01-01,19,Zebronia,160932,5,127813,0
316,Nichole Foster,57,Sales,2019-01-01,19,Xentara,118326,3,68779,0
317,George Harrison,53,Sales,2025-01-01,20,Nirvon,155751,5,138595,0
318,Shannon Lambert,38,Operations,2024-01-01,11,Kaldora,95778,2,0,0
319,James Johnson,59,Development,2011-01-01,18,Xentara,122617,2,0,0
320,Timothy Kelly,42,Support,2023-01-01,19,Nirvon,99919,4,0,3
321,Kevin Reyes,42,Marketing,2011-01-01,14,Utopia,114050,5,0,0
322,Angela Humphrey,50,Marketing,2015-01-01,19,Drogol,125985,5,0,0
323,Donna Adams,56,Marketing,2016-01-01,12,Vantor,95387,2,0,0
324,Melinda Sanchez,50,Operations,2022-01-01,18,Zebronia,115312,5,0,0
325,Jason Miranda,56,Development,2019-01-01,19,Nirvon,140421,4,0,0
326,Lydia Wong,56,Development,2021-01-01,19,Xentara,135410,5,0,0
327,Jose Diaz,42,Sales,2023-01-01,12,Utopia,80648,1,25820,0
328,Kristina Burton,42,Support,2019-01-01,20,Vantor,97527,3,0,3
329,Joseph Cook,39,Operations,2021-01-01,9,Arkalon,110473,5,0,0
330,Amanda Mccoy,55,Sales,2025-01-01,14,Zebronia,88161,2,39531,0
331,Joe Long,60,Support,2018-01-01,19,Nirvon,86791,2,0,2
332,Kevin Clark,43,Support,2026-01-01,3,Kaldora,84106,3,0,3
333,Daniel Richmond,26,Marketing,2011-01-01,3,Utopia,82818,3,0,0
334,James Blackwell,40,Marketing,2024-01-01,3,Xentara,78051,2,0,0
335,Ronald Mcclain,48,Development,2013-01-01,20,Zebronia,128361,2,0,0
336,Krystal Lopez,46,Development,2013-01-01,7,Lumeria,109029,4,0,0
337,Timothy Gomez,38,Operations,2017-01-01,5,Aqualis,99711,4,0,0
338,Edwin Gallegos,54,Development,2020-01-01,9,Arkalon,106517,4,0,0
339,Jennifer Rodriguez,54,Support,2013-01-01,12,Drogol,102939,3,0,4
340,Scott Clark,54,Support,2023-01-01,20,Kaldora,113104,4,0,5
341,Laura Hernandez,50,Marketing,2013-01-01,6,Kaldora,84923,2,0,0
342,Brian Martinez,58,Sales,2022-01-01,13,Kaldora,125544,2,85923,0
343,Samuel Mitchell,31,Development,2013-01-01,2,Drogol,92120,5,0,0
344,Edward Watson,49,Support,2022-01-01,5,Aqualis,83385,2,0,1
345,Dustin Welch,30,Sales,2017-01-01,3,Aqualis,144893,4,98804,0
346,Kathleen Brewer,48,Sales,2016-01-01,3,Arkalon,120901,3,72319,0
347,Nicole Everett,42,Marketing,2021-01-01,15,Nirvon,104463,3,0,0
348,Rebecca Harrison,55,Support,2016-01-01,11,Kaldora,100023,4,0,3
